Country,Election for,Date,Status,Registered,Actual Votes,Participation
Bangladesh,Bangladeshi National Parliament,2024-01-07 (d),Held,"119,691,633",n/a,
Bhutan,Bhutanese National Assembly,2024-01-09 (d),Held,"498,135","326,775 (c)","65.6
                                        %"
Sint Maarten,Sint Maarten Parliament,2024-01-11 (d),Held,"22,553","14,443  (v)","65.5
                                        %"
Taiwan,Taiwanese Legislative Yuan,2024-01-13 (d),Held,"19,566,007","13,776,736  (v)","71.8
                                        %"
Taiwan,Taiwanese Presidency,2024-01-13 (d),Held,"19,548,531","13,947,506  (v)","71.9
                                        %"
Comoros,Comoran Presidency,2024-01-14 (d),Held,"338,940","174,582  (v)","56.4
                                        %"
Liechtenstein,Referendum,2024-01-21 (d),Held,"20,950","14,221 (c)","67.9
                                        %"
Tuvalu,Tuvaluan House of Assembly,2024-01-26 (d),Held,None,n/a,
Finland,Finnish Presidency,2024-01-28 (d),Held,"4,546,041","3,243,451  (v)","71.6
                                        %"
El Salvador,Salvadoran Presidency,2024-02-04 (d),Held,"6,214,399","3,191,615  (v)","52.6
                                        %"
El Salvador,Salvadoran Legislative Assembly,2024-02-04 (d),Held,"6,214,399",n/a,
Azerbaijan,Azerbaijani Presidency,2024-02-07 (d),Held,"6,514,222","4,957,967  (v)","76.3
                                        %"
Pakistan,Pakistani National Assembly,2024-02-08 (d),Held,"128,585,760",n/a,
Finland,Finnish Presidency,2024-02-11 (d),Held,"4,546,041","2,051,759  (v)","67.6
                                        %"
Indonesia,Indonesian Presidency,2024-02-14 (d),Held,"204,807,222","164,227,475  (v)","82.2
                                        %"
Indonesia,Indonesian Regional Representative Council,2024-02-14 (d),Held,"204,807,222",n/a,
Indonesia,Indonesian House of Representatives,2024-02-14 (d),Held,"204,807,222",n/a,
Liechtenstein,Referendum,2024-02-25 (d),Held,"20,964","13,689  (v)","66.5
                                        %"
Belarus,Belarusian Chamber of Representatives,2024-02-25 (d),Held,"6,825,985","5,014,437 (c)","73.5
                                        %"
"Iran, Islamic Republic of",Iranian Islamic Consultative Assembly,2024-03-01 (d),Held,None,n/a,
Switzerland,Referendum,2024-03-03 (d),Held,"5,591,446","3,250,055 (c)","58.1
                                        %"
Ireland,Referendum,2024-03-08 (d),Held,"3,438,566","1,507,673  (v)","44.4
                                        %"
Portugal,Portuguese Assembly of the Republic,2024-03-10 (d),Held,"10,818,226","6,194,290  (v)","59.8
                                        %"
Russian Federation,Russian Presidency,2024-03-15 (d),Held,"112,782,115","86,206,291  (v)","77.5
                                        %"
Slovakia,Slovakian Presidency,2024-03-23 (d),Held,"4,364,071","2,254,206  (v)","51.9
                                        %"
Senegal,Senegalese Presidency,2024-03-24 (d),Held,"7,371,890","4,485,128  (v)","61.3
                                        %"
Kuwait,Kuwaiti National Assembly,2024-04-04 (d),Held,"793,646",n/a,
Slovakia,Slovakian Presidency,2024-04-06 (d),Held,"4,368,697","2,652,964  (v)","61.1
                                        %"
South Korea,South Korean National Assembly,2024-04-10 (d),Held,"44,280,011","29,654,450 (c)","67.0
                                        %"
Croatia,Croatian Assembly,2024-04-17 (d),Held,"3,523,268","2,120,779  (v)","61.9
                                        %"
